"OEM","Slice","GroundTruth","ExpectedSystem","ExpectedCategory","GoodTokens","ExpectedMake","Chassis","Prefix5"
"97874-C2482","plausible_hk","not_hk_format","HVAC","Air Conditioning & Heating","","Hyundai/Kia","C2","97874"
"92225-D3009","plausible_hk","not_hk_format","Electrical","Fog Light","","Hyundai/Kia","D3","92225"
"51178-P1366","plausible_hk","not_hk_format","Suspension","Front Axle","","Hyundai/Kia","P1","51178"
"49133-C6202","plausible_hk","not_hk_format","Drivetrain","Transfer Case / 4WD","","Hyundai/Kia","C6","49133"
"90032-26317","plausible_hk","not_hk_format","Unknown","Unknown","","Hyundai/Kia","26","90032"
"41584-1G295","plausible_hk","not_hk_format","Drivetrain","Clutch","","Hyundai/Kia","1G","41584"
"82571-1W408","plausible_hk","not_hk_format","Body","Glass / Windshield","","Hyundai/Kia","1W","82571"
"70142-G9519","plausible_hk","not_hk_format","Body","Tailgate / Liftgate","","Hyundai/Kia","G9","70142"
"64821-F2634","plausible_hk","not_hk_format","Body","Front Body / Hood","","Hyundai/Kia","F2","64821"
"10312-E4217","plausible_hk","not_hk_format","Unknown","Unknown","","Hyundai/Kia","E4","10312"
"86378-CV757","plausible_hk","not_hk_format","Body","Mirrors","","Hyundai/Kia","CV","86378"
"92953-CV595","plausible_hk","not_hk_format","Electrical","Lighting - Headlights","","Hyundai/Kia","CV","92953"
"63287-2S104","plausible_hk","not_hk_format","Body","Rear Structure","","Hyundai/Kia","2S","63287"
"92981-A9075","plausible_hk","not_hk_format","Electrical","Lighting - Headlights","","Hyundai/Kia","A9","92981"
"66779-P1799","plausible_hk","not_hk_format","Body","Rear Body / Trunk","","Hyundai/Kia","P1","66779"
"74976-A9098","plausible_hk","not_hk_format","Body","Back Door / Hatch","","Hyundai/Kia","A9","74976"
"20389-1G952","plausible_hk","not_hk_format","Unknown","Unknown","","Hyundai/Kia","1G","20389"
"67033-A9679","plausible_hk","not_hk_format","Body","Floor & Underbody","","Hyundai/Kia","A9","67033"
"70226-1R422","plausible_hk","not_hk_format","Body","Tailgate / Liftgate","","Hyundai/Kia","1R","70226"
"54525-N9751","plausible_hk","not_hk_format","Suspension","Front Suspension","","Hyundai/Kia","N9","54525"
"57054-H8695","plausible_hk","not_hk_format","Suspension","Wheel & Hub","","Hyundai/Kia","H8","57054"
"10813-26029","plausible_hk","not_hk_format","Unknown","Unknown","","Hyundai/Kia","26","10813"
"21145-3E271","plausible_hk","not_hk_format","Engine","Cylinder Block","","Hyundai/Kia","3E","21145"
"53178-A9562","plausible_hk","not_hk_format","Suspension","Power Steering","","Hyundai/Kia","A9","53178"
